"x","y","color","zone","maize.zone"
42,70,"yellow","Natural","No_Yield"
42,69,"yellow","Natural","No_Yield"
42,68,"yellow","Natural","No_Yield"
42,67,"yellow","Natural","No_Yield"
42,66,"yellow","Natural","No_Yield"
42,65,"yellow","Natural","No_Yield"
42,64,"yellow","Natural","No_Yield"
42,63,"yellow","Natural","No_Yield"
42,62,"yellow","Natural","No_Yield"
42,61,"yellow","Natural","No_Yield"
42,60,"yellow","Natural","No_Yield"
42,59,"yellow","Natural","No_Yield"
42,58,"yellow","Natural","No_Yield"
42,57,"yellow","Natural","No_Yield"
42,56,"yellow","Natural","No_Yield"
42,55,"yellow","Natural","No_Yield"
42,54,"yellow","Natural","No_Yield"
42,53,"yellow","Natural","No_Yield"
42,52,"yellow","Natural","No_Yield"
42,51,"yellow","Natural","No_Yield"
42,50,"yellow","Natural","No_Yield"
42,49,"yellow","Natural","No_Yield"
42,48,"yellow","Natural","No_Yield"
42,47,"yellow","Natural","No_Yield"
42,46,"yellow","Natural","No_Yield"
42,45,"yellow","Natural","No_Yield"
42,44,"yellow","Natural","No_Yield"
42,43,"yellow","Natural","No_Yield"
42,42,"yellow","Natural","No_Yield"
42,41,"yellow","Natural","No_Yield"
42,40,"yellow","Natural","No_Yield"
42,39,"yellow","Natural","No_Yield"
42,38,"yellow","Natural","No_Yield"
42,37,"yellow","Natural","No_Yield"
42,36,"yellow","Natural","No_Yield"
42,35,"yellow","Natural","No_Yield"
42,34,"yellow","Natural","No_Yield"
42,33,"yellow","Natural","No_Yield"
42,32,"yellow","Natural","No_Yield"
42,31,"yellow","Natural","No_Yield"
42,30,"yellow","Natural","No_Yield"
42,29,"yellow","Natural","No_Yield"
42,28,"yellow","Natural","No_Yield"
42,27,"yellow","Natural","No_Yield"
42,26,"yellow","Natural","No_Yield"
42,25,"white","Empty","Empty"
42,24,"white","Empty","Empty"
42,23,"white","Empty","Empty"
42,22,"white","Empty","Empty"
42,21,"white","Empty","Empty"
42,20,"white","Empty","Empty"
42,19,"white","Empty","Empty"
42,18,"white","Empty","Empty"
42,17,"white","Empty","Empty"
42,16,"white","Empty","Empty"
42,15,"white","Empty","Empty"
42,14,"white","Empty","Empty"
42,13,"white","Empty","Empty"
42,12,"white","Empty","Empty"
42,11,"white","Empty","Empty"
42,10,"white","Empty","Empty"
42,9,"white","Empty","Empty"
42,8,"white","Empty","Empty"
42,7,"white","Empty","Empty"
42,6,"white","Empty","Empty"
42,5,"white","Empty","Empty"
42,4,"white","Empty","Empty"
42,3,"white","Empty","Empty"
42,2,"white","Empty","Empty"
42,1,"white","Empty","Empty"
42,0,"white","Empty","Empty"
43,119,"white","Empty","Empty"
43,118,"white","Empty","Empty"
43,117,"white","Empty","Empty"
43,116,"white","Empty","Empty"
43,115,"white","Empty","Empty"
43,114,"white","Empty","Empty"
43,113,"white","Empty","Empty"
43,112,"white","Empty","Empty"
43,111,"white","Empty","Empty"
43,110,"white","Empty","Empty"
43,109,"white","Empty","Empty"
43,108,"white","Empty","Empty"
43,107,"white","Empty","Empty"
